Date,Open,High,Low,Close,Adj Close,Volume
2017-05-17,1337.099243,1440.310669,1286.706421,1418.066162,1418.066162,820980788
2017-05-18,1402.343994,1471.095337,1394.060059,1458.079224,1458.079224,690435438
2017-05-19,1464.811279,1538.034180,1459.539795,1525.136108,1525.136108,887968989
2017-05-20,1522.473755,1599.578003,1515.322632,1599.578003,1599.578003,737616818
2017-05-21,1585.997070,1625.934204,1567.428223,1569.067505,1569.067505,882358342
2017-05-22,1570.597290,1776.740845,1554.000732,1673.004272,1673.004272,1495050444
2017-05-23,1686.983398,1791.309082,1676.930176,1791.000244,1791.000244,1064178721
2017-05-24,1791.733643,1946.263550,1791.318848,1883.054565,1883.054565,1329567672
2017-05-25,1885.058228,2132.986084,1767.440063,1782.660522,1782.660522,1861330264
2017-05-26,1794.965088,1999.681519,1617.099854,1721.312988,1721.312988,1378257181
2017-05-27,1716.506470,1766.471191,1450.433716,1593.489624,1593.489624,1329019148
2017-05-28,1605.377197,1772.051636,1605.377197,1682.378662,1682.378662,895223948
2017-05-29,1685.211426,1797.187866,1644.427856,1760.270142,1760.270142,776201829
2017-05-30,1760.074951,1797.423218,1659.042725,1698.524292,1698.524292,1127396976
2017-05-31,1707.674805,1794.177490,1674.003296,1775.990356,1775.990356,1199961124
2017-06-01,1777.481812,1903.288208,1777.619873,1868.601440,1868.601440,1282927232
2017-06-02,1865.613892,1930.006226,1841.210327,1930.006226,1930.006226,1021428583
2017-06-03,1934.015747,2002.411865,1879.610718,1950.791138,1950.791138,1174926334
2017-06-04,1975.950073,2005.498657,1902.078491,1952.285156,1952.285156,1053256645
2017-06-05,1952.743530,2082.314209,1950.745972,2082.314209,2082.314209,1061233784
2017-06-06,2085.437500,2320.833984,2085.275879,2219.018799,2219.018799,1619476078
2017-06-07,2223.808350,2224.153076,2084.569824,2107.822754,2107.822754,1170891800
2017-06-08,2098.819580,2171.964355,2061.077148,2205.329346,2205.329346,1007050815
2017-06-09,2206.760010,2277.637451,2194.364258,2216.491455,2216.491455,1058830467
2017-06-10,2219.890137,2316.318604,2155.847656,2313.744141,2313.744141,1584686015
2017-06-11,2309.583984,2352.119385,2229.615479,2321.907471,2321.907471,1375510204
2017-06-12,2318.069092,2350.423584,1991.901367,2099.321045,2099.321045,2028202787
2017-06-13,2116.117920,2196.613525,2094.665283,2131.497559,2131.497559,1397348395
2017-06-14,2131.387695,2179.765381,1892.056763,1965.934692,1965.934692,1330739665
2017-06-15,1960.608765,1988.319702,1737.153564,1931.489136,1931.489136,1587978031
2017-06-16,1935.399780,1987.262329,1866.898804,1971.166992,1971.166992,935423038
2017-06-17,1967.605835,2101.580811,1944.869629,2078.641113,2078.641113,1200993935
2017-06-18,2078.226563,2083.509521,1972.045532,1995.216187,1995.216187,922846827
2017-06-19,1995.795532,2087.691162,1995.014526,2034.090088,2034.090088,1136470084
