Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,470.380005,471.660004,461.839996,468.269989,468.269989,315036
2016-09-27,468.269989,469.549988,460.859985,468.160004,468.160004,323613
2016-09-28,468.160004,471.269989,463.660004,469.420013,469.420013,300086
2016-09-29,469.420013,474.290009,466.640015,471.329987,471.329987,292002
2016-09-30,471.329987,479.059998,468.559998,476.820007,476.820007,190402
2016-10-01,476.820007,478.049988,471.989990,475.559998,475.559998,158525
2016-10-02,475.559998,480.320007,470.140015,479.929993,479.929993,291964
2016-10-03,479.929993,489.890015,474.029999,482.540009,482.540009,266825
2016-10-04,482.540009,489.420013,479.799988,483.790009,483.790009,294368
2016-10-05,483.790009,492.850006,436.779999,485.869995,485.869995,318561
2016-10-06,485.869995,505.859985,481.760010,500.269989,500.269989,353557
2016-10-07,500.269989,505.140015,496.380005,497.920013,497.920013,132308
2016-10-08,497.920013,502.750000,497.359985,500.709991,500.709991,152910
2016-10-09,500.709991,502.549988,494.200012,501.359985,501.359985,320451
2016-10-10,501.359985,531.190002,500.940002,531.070007,531.070007,370683
2016-10-11,531.070007,531.390015,513.640015,523.320007,523.320007,300295
2016-10-12,523.320007,527.010010,516.309998,523.049988,523.049988,284474
2016-10-13,523.049988,537.020020,508.779999,524.739990,524.739990,277131
2016-10-14,524.739990,529.750000,525.099976,526.830017,526.830017,116274
2016-10-15,526.830017,532.429993,526.010010,530.979980,530.979980,127829
2016-10-16,530.979980,532.460022,524.349976,527.409973,527.409973,325753
2016-10-17,527.409973,530.349976,512.250000,518.390015,518.390015,351279
2016-10-18,518.390015,523.369995,506.459991,517.020020,517.020020,231760
2016-10-19,517.020020,524.380005,509.920013,517.950012,517.950012,305472
2016-10-20,517.950012,525.289978,516.469971,519.570007,519.570007,196467
2016-10-21,519.570007,540.469971,518.909973,538.330017,538.330017,151575
2016-10-22,538.330017,544.450012,531.109985,537.830017,537.830017,211910
2016-10-23,537.830017,544.909973,532.109985,535.140015,535.140015,275146
2016-10-24,535.140015,569.580017,534.599976,543.900024,543.900024,305877
2016-10-25,543.900024,559.799988,534.570007,554.669983,554.669983,282670
2016-10-26,554.669983,569.739990,554.260010,567.780029,567.780029,323692
2016-10-27,567.780029,576.080017,563.340027,570.460022,570.460022,379257
2016-10-28,570.460022,608.960022,569.880005,595.140015,595.140015,228808
2016-10-29,595.140015,604.659973,570.780029,579.559998,579.559998,199383
2016-10-31,579.559998,602.200012,566.979980,579.580017,579.580017,367795
2016-11-01,579.580017,606.969971,574.500000,601.059998,601.059998,346506
2016-11-02,601.059998,603.979980,590.799988,603.979980,603.979980,293453
2016-11-03,603.979980,611.320007,534.099976,552.049988,552.049988,460677
2016-11-04,552.049988,608.479980,537.190002,568.710022,568.710022,379826
2016-11-05,568.710022,572.500000,562.780029,569.219971,569.219971,164011
2016-11-06,569.219971,584.320007,560.890015,576.799988,576.799988,124533
2016-11-07,576.799988,580.380005,557.619995,573.780029,573.780029,349136
2016-11-08,573.780029,611.359985,559.049988,585.039978,585.039978,387810
2016-11-09,585.039978,604.090027,576.770020,583.520020,583.520020,318221
2016-11-10,583.520020,585.929993,568.539978,579.020020,579.020020,238676
2016-11-11,579.020020,582.270020,568.429993,578.270020,578.270020,215527
2016-11-12,578.270020,579.940002,559.210022,562.229980,562.229980,150175
2016-11-13,562.229980,564.049988,545.320007,563.320007,563.320007,205713
2016-11-14,563.320007,570.789978,557.340027,569.590027,569.590027,321635
2016-11-15,569.590027,589.869995,565.030029,579.039978,579.039978,306387
2016-11-16,579.039978,606.000000,570.239990,596.909973,596.909973,356575
2016-11-17,596.909973,612.830017,591.349976,603.289978,603.289978,241942
2016-11-18,603.289978,617.039978,595.010010,614.260010,614.260010,288450
2016-11-19,614.260010,619.109985,603.289978,618.020020,618.020020,167568
2016-11-20,618.020020,620.390015,584.729980,601.169983,601.169983,166533
2016-11-21,601.169983,607.809998,586.229980,597.460022,597.460022,355211
2016-11-22,597.460022,622.020020,575.710022,617.750000,617.750000,299084
